Country,Other names,ISO 3166-1 alpha-3 CODE,Population,Continent,Total Cases,Total Deaths,Tot Cases//1M pop,Tot Deaths/1M pop,Death percentage
Bhutan,Bhutan,BTN,786480,Asia,31437,12,39972,15,0.038171581
Samoa,Samoa,WSM,200722,Oceania,2285,1,11384,5,0.043763676
Vanuatu,Vanuatu,VUT,319701,Oceania,4107,2,12846,6,0.048697346
New Zealand,New Zealand,NZL,5002100,Oceania,693219,350,138586,70,0.050489095
Saint Pierre Miquelon, Saint Pierre and Miquelon,SPM,5744,Northern America,1957,1,340703,174,0.05109862
Iceland,Iceland,ISL,345120,Europe,181830,101,526860,293,0.055546389
Faeroe Islands,Faeroe Islands,FRO,49188,Europe,34237,28,696044,569,0.081782866
Burundi,Burundi,BDI,12510155,Africa,38519,38,3079,3,0.098652613
Singapore,Singapore,SGP,5930887,Asia,1109744,1276,187113,215,0.114981473
Cayman Islands,Cayman Islands,CYM,67073,Latin America and the Caribbean,20606,24,307218,358,0.116470931
