Country,Other names,ISO 3166-1 alpha-3 CODE,Population,Continent,Total Cases,Total Deaths,Tot Cases//1M pop,Tot Deaths/1M pop,Death percentage
Yemen,Yemen,YEM,30975258,Asia,11806,2143,381,69,18.15178723
Western Sahara,Western Sahara,ESHÂ ,623031,Africa,10,1,16,2,10
Sudan,Sudan,SDN,45640385,Africa,61955,4907,1357,108,7.920264708
Peru,Peru,PER,33775745,Latin America and the Caribbean,3548559,212328,105062,6286,5.983499218
Mexico,Mexico,MEX,131303955,Latin America and the Caribbean,5665376,323212,43147,2462,5.705040583
Syria,Syrian Arab Republic,SYR,18244381,Asia,55711,3144,3054,172,5.64340974
Somalia,Somalia,SOM,16668781,Africa,26400,1348,1584,81,5.106060606
Egypt,Egypt,EGY,105711844,Africa,505264,24417,4780,231,4.832523196
Afghanistan,Afghanistan,AFG,40462186,Asia,177827,7671,4395,190,4.313743132
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,3245097,Europe,375693,15719,115773,4844,4.184001299
