Country,Other names,ISO 3166-1 alpha-3 CODE,Population,Continent,Total Cases,Total Deaths,Tot Cases//1M pop,Tot Deaths/1M pop,Death percentage
USA,United States of America,USA,334400597,Northern America,81839052,1008222,244734,3015,1.231957086
Brazil,Brazil,BRA,215204501,Latin America and the Caribbean,29999816,660269,139401,3068,2.200910166
India,India,IND,1403754381,Asia,43029044,521388,30653,371,1.211711792
Russia,Russian Federation,RUS,146044010,Europe,17896866,369708,122544,2531,2.065769504
Mexico,Mexico,MEX,131303955,Latin America and the Caribbean,5665376,323212,43147,2462,5.705040583
Peru,Peru,PER,33775745,Latin America and the Caribbean,3548559,212328,105062,6286,5.983499218
UK,United Kingdom of Great Britain and Northern Ireland,GBR,68510300,Europe,21216874,165570,309689,2417,0.780369436
Italy,Italy,ITA,60306185,Europe,14846514,159784,246186,2650,1.076239176
Indonesia,Indonesia,IDN,278586508,Asia,6019981,155288,21609,557,2.579543025
France,France,FRA,65526369,Europe,25997852,142506,396754,2175,0.548145285
